"student","materia","definitiva"
1,soberania,13
2,soberania,17
3,soberania,15
4,soberania,15
5,soberania,17
6,soberania,18
7,soberania,12
8,soberania,15
9,soberania,13
10,soberania,17
11,soberania,10
12,soberania,15
13,soberania,17
14,soberania,12
15,soberania,14
16,soberania,15
17,soberania,17
18,soberania,14
19,soberania,14
20,soberania,11
21,soberania,15
22,soberania,11
1,biologia,14
2,biologia,16
3,biologia,16
4,biologia,15
5,biologia,14
6,biologia,20
7,biologia,14
8,biologia,18
9,biologia,12
10,biologia,19
11,biologia,10
12,biologia,14
13,biologia,17
14,biologia,14
15,biologia,15
16,biologia,16
17,biologia,13
18,biologia,17
19,biologia,12
20,biologia,12
21,biologia,19
22,biologia,17
1,fisica,14
2,fisica,18
3,fisica,16
4,fisica,13
5,fisica,15
6,fisica,18
7,fisica,9
8,fisica,8
9,fisica,16
10,fisica,19
11,fisica,9
12,fisica,17
13,fisica,13
14,fisica,8
15,fisica,12
16,fisica,15
17,fisica,12
18,fisica,17
19,fisica,8
20,fisica,12
21,fisica,16
22,fisica,11
1,geografia,18
2,geografia,19
3,geografia,12
4,geografia,16
5,geografia,16
6,geografia,20
7,geografia,16
8,geografia,6
9,geografia,18
10,geografia,17
11,geografia,10
12,geografia,17
13,geografia,16
14,geografia,15
15,geografia,16
16,geografia,17
17,geografia,16
18,geografia,20
19,geografia,12
20,geografia,11
21,geografia,14
22,geografia,13
1,ingles,14
2,ingles,19
3,ingles,7
4,ingles,18
5,ingles,16
6,ingles,17
7,ingles,13
8,ingles,11
9,ingles,18
10,ingles,19
11,ingles,12
12,ingles,17
13,ingles,12
14,ingles,13
15,ingles,14
16,ingles,14
17,ingles,16
18,ingles,19
19,ingles,12
20,ingles,13
21,ingles,13
22,ingles,13
1,lengua,12
2,lengua,14
3,lengua,10
4,lengua,14
5,lengua,15
6,lengua,16
7,lengua,9
8,lengua,9
9,lengua,13
10,lengua,17
11,lengua,11
12,lengua,12
13,lengua,13
14,lengua,11
15,lengua,10
16,lengua,11
17,lengua,10
18,lengua,15
19,lengua,9
20,lengua,9
21,lengua,12
22,lengua,11
1,mates,14
2,mates,18
3,mates,13
4,mates,13
5,mates,11
6,mates,19
7,mates,11
8,mates,4
9,mates,12
10,mates,19
11,mates,6
12,mates,11
13,mates,11
14,mates,6
15,mates,11
16,mates,10
17,mates,8
18,mates,19
19,mates,10
20,mates,6
21,mates,14
22,mates,3
1,quimica,11
2,quimica,14
3,quimica,7
4,quimica,12
5,quimica,13
6,quimica,11
7,quimica,9
8,quimica,3
9,quimica,10
10,quimica,11
11,quimica,10
12,quimica,9
13,quimica,8
14,quimica,10
15,quimica,10
16,quimica,12
17,quimica,9
18,quimica,10
19,quimica,7
20,quimica,9
21,quimica,8
22,quimica,5
