student,materia,definitiva
1,soberania,15
2,soberania,7
3,soberania,16
4,soberania,17
5,soberania,16
6,soberania,10
7,soberania,15
8,soberania,16
9,soberania,16
10,soberania,10
11,soberania,15
12,soberania,15
13,soberania,14
14,soberania,14
15,soberania,15
16,soberania,16
17,soberania,10
18,soberania,13
19,soberania,12
20,soberania,3
21,soberania,7
22,soberania,14
23,soberania,16
24,soberania,12
25,soberania,10
1,biologia,16
2,biologia,19
3,biologia,9
4,biologia,15
5,biologia,19
6,biologia,20
7,biologia,19
8,biologia,17
9,biologia,17
10,biologia,17
11,biologia,16
12,biologia,19
13,biologia,20
14,biologia,17
15,biologia,18
16,biologia,18
17,biologia,18
18,biologia,17
19,biologia,19
20,biologia,17
21,biologia,
22,biologia,18
23,biologia,18
24,biologia,16
25,biologia,18
1,fisica,15
2,fisica,12
3,fisica,9
4,fisica,17
5,fisica,19
6,fisica,18
7,fisica,17
8,fisica,16
9,fisica,15
10,fisica,16
11,fisica,19
12,fisica,17
13,fisica,15
14,fisica,14
15,fisica,18
16,fisica,14
17,fisica,14
18,fisica,10
19,fisica,18
20,fisica,15
21,fisica,13
22,fisica,14
23,fisica,19
24,fisica,11
25,fisica,16
1,geografia,17
2,geografia,18
3,geografia,5
4,geografia,19
5,geografia,18
6,geografia,19
7,geografia,20
8,geografia,19
9,geografia,19
10,geografia,18
11,geografia,16
12,geografia,20
13,geografia,19
14,geografia,17
15,geografia,19
16,geografia,19
17,geografia,16
18,geografia,18
19,geografia,18
20,geografia,18
21,geografia,12
22,geografia,17
23,geografia,19
24,geografia,16
25,geografia,16
1,ingles,12
2,ingles,14
3,ingles,17
4,ingles,14
5,ingles,10
6,ingles,19
7,ingles,19
8,ingles,17
9,ingles,17
10,ingles,14
11,ingles,18
12,ingles,18
13,ingles,14
14,ingles,16
15,ingles,0
16,ingles,0
17,ingles,19
18,ingles,9
19,ingles,16
20,ingles,13
21,ingles,14
22,ingles,15
23,ingles,19
24,ingles,9
25,ingles,13
1,lengua,16
2,lengua,9
3,lengua,7
4,lengua,16
5,lengua,17
6,lengua,17
7,lengua,15
8,lengua,16
9,lengua,17
10,lengua,14
11,lengua,12
12,lengua,15
13,lengua,12
14,lengua,12
15,lengua,16
16,lengua,13
17,lengua,10
18,lengua,15
19,lengua,9
20,lengua,15
21,lengua,11
22,lengua,14
23,lengua,18
24,lengua,11
25,lengua,10
1,mates,12
2,mates,11
3,mates,2
4,mates,12
5,mates,18
6,mates,19
7,mates,16
8,mates,17
9,mates,11
10,mates,13
11,mates,14
12,mates,14
13,mates,14
14,mates,12
15,mates,14
16,mates,13
17,mates,12
18,mates,11
19,mates,17
20,mates,10
21,mates,7
22,mates,13
23,mates,16
24,mates,7
25,mates,13
1,quimica,6
2,quimica,10
3,quimica,5
4,quimica,16
5,quimica,16
6,quimica,15
7,quimica,15
8,quimica,15
9,quimica,7
10,quimica,13
11,quimica,13
12,quimica,15
13,quimica,9
14,quimica,13
15,quimica,11
16,quimica,6
17,quimica,9
18,quimica,9
19,quimica,11
20,quimica,9
21,quimica,9
22,quimica,8
23,quimica,13
24,quimica,11
25,quimica,8
